iter	Passed	Remaining
710	884147	1602906
711	885155	1601236
712	886168	1599576
713	887395	1598306
714	888485	1596788
715	889683	1595465
716	890826	1594044
717	892041	1592753
718	893157	1591286
719	894355	1589965
720	895766	1589023
721	896924	1587631
722	898075	1586226
723	899200	1584779
724	900416	1583491
725	901447	1581878
726	902540	1580376
727	903706	1579003
728	904943	1577755
729	906016	1576220
730	907236	1574942
731	908362	1573502
732	909540	1572151
733	910587	1570576
734	911552	1568862
735	912813	1567657
736	914032	1566380
737	915131	1564899
738	916294	1563527
739	917418	1562090
740	918654	1560845
741	919827	1559492
742	921065	1558250
743	922189	1556814
744	923445	1555602
745	924515	1554077
746	925676	1552707
747	926938	1551507
748	928346	1550548
749	929589	1549315
750	931013	1548383
751	932291	1547207
752	933636	1546141
753	934983	1545078
754	936211	1543819
755	937509	1542673
756	938888	1541661
757	940222	1540575
758	941428	1539278
759	942640	1537992
760	943641	1536361
761	944938	1535215
762	946238	1534072
763	947374	1532663
764	948465	1531183
765	949752	1530019
766	951040	1528856
767	952327	1527691
768	953542	1526411
769	954903	1525365
770	956249	1524293
771	957795	1523540
772	959298	1522716
773	960876	1522009
774	962768	1521795
775	964254	1520936
776	965789	1520155
777	967176	1519137
778	968569	1518130
779	969754	1516794
780	971073	1515670
781	972341	1514466
782	973398	1512932
783	974458	1511404
784	975578	1509971
785	976852	1508777
786	977997	1507383
787	979129	1505970
788	980380	1504740
789	981706	1503627
790	982779	1502124
791	983881	1500667
792	984998	1499234
793	986281	1498054
794	987444	1496692
795	988637	1495375
796	989710	1493878
797	990918	1492585
798	992250	1491480
799	993622	1490433
800	995088	1489526
801	996397	1488384
802	997590	1487068
803	998908	1485938
804	1000026	1484510
805	1001125	1483056
806	1002301	1481717
807	1003473	1480372
808	1004798	1479252
809	1005974	1477913
810	1007433	1476989
811	1008519	1475518
812	1009638	1474097
813	1010718	1472618
814	1011946	1471357
815	1013156	1470070
816	1014178	1468510
817	1015461	1467329
818	1016784	1466205
819	1018047	1464994
820	1019389	1463897
821	1020810	1462913
822	1022109	1461753
823	1023460	1460667
824	1024819	1459591
825	1026304	1458694
826	1027761	1457756
827	1029278	1456901
828	1030708	1455922
829	1032117	1454912
830	1033488	1453848
831	1034809	1452713
832	1036149	1451604
833	1037425	1450406
834	1038742	1449263
835	1040192	1448306
836	1041390	1446997
837	1042772	1445944
838	1044076	1444782
839	1045244	1443432
840	1046560	1442287
841	1047818	1441061
842	1049015	1439751
843	1050203	1438430
844	1051354	1437058
845	1052533	1435725
846	1053656	1434316
847	1054721	1432829
848	1055993	1431623
849	1057058	1430138
850	1058115	1428643
851	1059161	1427133
852	1060323	1425781
853	1061383	1424292
854	1062570	1422974
855	1063719	1421605
856	1064932	1420324
857	1065977	1418819
858	1067061	1417365
859	1068100	1415854
860	1069287	1414539
861	1070418	1413150
862	1071493	1411689
863	1072559	1410216
864	1073638	1408762
865	1074801	1407418
866	1075973	1406087
867	1077242	1404883
868	1078395	1403527
869	1079501	1402110
870	1080649	1400750
871	1081929	1399560
872	1083101	1398231
873	1084225	1396839
874	1085270	1395348
875	1086299	1393836
876	1087408	1392428
877	1088760	1391331
878	1090196	1390341
879	1091503	1389186
880	1092833	1388059
881	1094099	1386851
882	1095224	1385465
883	1096612	1384410
884	1097807	1383113
885	1099086	1381921
886	1100299	1380646
887	1101506	1379363
888	1102789	1378177
889	1104034	1376941
890	1105282	1375710
891	1106458	1374389
892	1107737	1373196
893	1108996	1371980
894	1110313	1370834
895	1111544	1369581
896	1112824	1368389
897	1113917	1366968
898	1115141	1365707
899	1116201	1364246
900	1117394	1362947
901	1118650	1361727
902	1119757	1360325
903	1120796	1358841
904	1121756	1357263
905	1122969	1355991
906	1124055	1354567
907	1125211	1353227
908	1126366	1351887
909	1127541	1350572
910	1128656	1349184
911	1129865	1347909
912	1131048	1346604
913	1132245	1345315
914	1133326	1343889
915	1134411	1342468
916	1135522	1341080
917	1136601	1339654
918	1137704	1338257
919	1138905	1336976
920	1140082	1335667
921	1141254	1334352
922	1142472	1333090
923	1143644	1331776
924	1144870	1330524
925	1145955	1329110
926	1147190	1327870
927	1148351	1326543
928	1149622	1325345
929	1150892	1324145
930	1152027	1322789
931	1153163	1321436
932	1154269	1320049
933	1155503	1318807
934	1156679	1317501
935	1157975	1316331
936	1159296	1315189
937	1160585	1314010
938	1161798	1312745
939	1162967	1311431
940	1164346	1310354
